customer_id,f_name,l_name,state
1,Brian,Patterson,Serbia
2,Peter,Miller,Jamaica
3,Daniel,Potts,Uruguay
4,Rose,Johnson,Cape Verde
5,Julia,Wilson,Iceland
6,Erik,Rodgers,Guadeloupe
7,Kelli,Ortega,Papua New Guinea
8,Samuel,Rodriguez,United States Virgin Islands
9,Mckenzie,Johnston,Palestinian Territory
10,Cathy,Scott,San Marino
11,Catherine,Holloway,Pitcairn Islands
12,Austin,Stevenson,Haiti
13,Daniel,Jackson,Guyana
14,Joan,Walsh,Singapore
15,Samantha,Walsh,Paraguay
16,John,Moreno,Montserrat
17,Connie,Hood,French Polynesia
18,Christopher,Lowe,Bahamas
19,Samantha,Ramos,Zambia
20,Elizabeth,Moore,Norway
21,William,Hopkins,United Kingdom
22,David,Mason,Afghanistan
23,David,Clayton,Australia
24,Adam,Peterson,Czech Republic
25,Craig,Ruiz,Indonesia
26,Steven,Garza,Denmark
27,Lauren,Collins,Sierra Leone
28,Sara,Wells,Mauritania
29,Christine,Elliott,Swaziland
30,Benjamin,Torres,Anguilla
31,Tina,Taylor,Iran
32,Michael,Jones,Trinidad and Tobago
33,Brandon,Doyle,Iceland
34,Danielle,Herman,Lebanon
35,Frank,Pena,Maldives
36,Zachary,Bennett,Malaysia
37,Jason,Bradley,Reunion
38,Geoffrey,Stevens,Senegal
39,Susan,Daniels,Micronesia
40,Yvonne,Watkins,Moldova
41,Rachael,Stephenson,Maldives
42,Thomas,Barnes,Seychelles
43,Donald,Robinson,Suriname
44,Megan,Ho,French Polynesia
45,Jay,Chen,French Guiana
46,Nicholas,Johnson,Tuvalu
47,Jeremiah,Carrillo,Czech Republic
48,Holly,Haney,China
49,Vanessa,Collier,Fiji
50,Rachel,Cook,Kiribati
51,Sarah,Wise,Netherlands Antilles
52,James,Armstrong,Korea
53,Rebecca,Hodges,Anguilla
54,Clinton,Smith,Uganda
55,Alison,Harris,United States Minor Outlying Islands
56,Joanna,Terry,Ireland
57,Matthew,Watkins,Mexico
58,Stephanie,Bishop,Norfolk Island
59,Linda,Meyer,Finland
60,Diane,Bennett,Guam
61,Jason,Cabrera,Timor-Leste
62,Ashley,Kelly,Bermuda
63,Amanda,Williams,Uzbekistan
64,Andrew,Hunt,Austria
65,Mallory,Morales,Montenegro
66,Christian,Anderson,Turks and Caicos Islands
67,Jamie,Pena,Burkina Faso
68,Karen,Nunez,Niue
69,Kristen,Cox,Greece
70,Pamela,Duncan,Germany
71,Chris,Woodard,Mauritius
72,Anthony,Chen,Christmas Island
73,Caitlin,Hoffman,Tonga
74,Andrew,Brown,Niue
75,Rhonda,Dougherty,Seychelles
76,John,Williams,Saint Barthelemy
77,Nicholas,Johnson,Czech Republic
78,Megan,Berry,Niger
79,Gina,Ryan,Marshall Islands
80,William,Jackson,Mauritius
81,Jon,Whitehead,Antarctica (the territory South of 60 deg S)
82,John,Bell,Sri Lanka
83,Frederick,Castillo,Japan
84,Brian,Bruce,Wallis and Futuna
85,Michael,Adams,Indonesia
86,Joshua,Williams,Malta
87,Daniel,Maldonado,Malawi
88,Edward,Bernard,Bangladesh
89,Valerie,Wade,Jordan
90,Haley,Gomez,Svalbard & Jan Mayen Islands
91,Janet,Rivera,Lithuania
92,Anna,Smith,Moldova
93,Stacy,Bryant,Hungary
94,Tammy,Melton,Norfolk Island
95,Dawn,Stewart,Falkland Islands (Malvinas)
96,Gina,Dorsey,South Africa
